id,text,streets,landmarks,businesses,times,activities
0,When your thermostat is broken and you miss your summer uniform and iced lavender lattes ☀️ // #cold #winter #fpme #freepeople #summer,broken and you; uniform and iced,,,,
1,Our #iHeartAwards2019⁠ ⁠host @TPAIN is in the BUILDING! Make sure your tuned in at 8pm EST tonight on @FOXTV 🏆📺 (📸: @GettyImages),,,,8pm,
2,It’s #NationalHotSauce day and the debate is real right now! @TheRealCarolina is a #tabasco gal and @PaulCubbyBryant likes #siracha! Which one is the best? #QOTD #CubbyandCarolina,day and the,,,,
3,🔁: @russellrushradio • When you & @katyperry see each other again & you both fangirl—-ok maybe it was just me 😂 #iheartradio #iHeartSummitt #Day1 #LA #lalaland,again & you,,,,
4,How would you like to hangout on the bus with @runawayjuneofficial? Come see @tenilletownes TONIGHT at @bhamtinroof to grab your raffle ticket!,,,,,run; bus
5,"Tell me about it 💊
🙄
🙄
🙄
🙄
🙄
🙄 
#tell #tea #listen #contouring #girl #love #yeg #yegnails #profile #shape #edmonton #nashville #listentoyourheart #mercuryretrograde #beatit #midmakeup #wingedliner",,,,,
6,Kung Fu Kenny in the flesh 😍 it was the dopest to see you live! ✨👌 // #kendricklamar #damn #concert #live #damn #championtourn,,,,,
7,My new favourite pant by @onlyandsonsindia I love pairing it with any colour of my choice.,,,,,
8,"Let WDHA help you make the fastest $1,000 you’ve ever made. JUST #UseYourHandForAGrand and grab the keyword weekdays at 8a, 11a, 1p, 4p, & 6p then text it to 40772!
📸 - EpicCure/shutterstock",UseYourHandForAGrand and grab,,,,
9,You coming! Tag your friends and get tickets 1025thebull.com @kipmooremusic @avondalebrewing,friends and get,,,,
10,Friday before #Christmas mood.,,,,,
11,"그레이 원데이 수세미♡
출시 3개월만에 10만개이상 판매된
이유가 있지〰️환경호르몬뿐만 아니라 유해물질 불검출!!
일회용이지만 100% PP재질로
기존 수세미와는 다르게 재활용 가능하다~
2겹 초극세사 섬유로 거품도 잘나고
세척 잘되서 너무 좋다👍🏻
2롤 구매하면 걸이도 주는데~
싱크대 아래 걸어두니 넘편해ㅎㅎ
-
-
#그레이원데이수세미 #일회용수세미 #너무편함 #깔끔해 #그레이컬러 #취저 #주방인테리어 #줌마그램 #줌스타그램 #주부놀이 #주방용품 #일상",,,,,
12,"Bust it, why you got it on safety. 🔐 📸: @viefeamatapictures",,,,,bus
13,"Can we go back to #HHI? Missing the beach on a Monday! 🌴☀️🌊
.
.
.
#beachinroadtrip #westinhhi #beach",,Missing the beach,,,
14,"There's a lot of pressure to be a perfect mom. But let's be real, that's a standard no one can achieve! Embrace the mistakes and just try your best to be a good mom to your kiddos. ❤️",mistakes and just,,,,
15,@harrystyles You know that I will do it for free and it will look bomb??,free and it,,,,
16,"Gear up and ride on over to Bike Night here at @quakersteak right now! The infamous @drewgarabo with The Bone team are holding it down by the entrance from 7p-9p, you can’t miss it. 🤘",up and ride,,,,
17,Coming up this morning on “All Mixed Up” with Jim Monaghan - Eddie Kramer & John McDermott on the new @jimihendrix box set.,Kramer & John,,,,
18,"In theaters today! Little, Hellboy & Missing Link #movienight",Hellboy & Missing,,,,
19,Double Play Wednesday AND Marriage For Dummies!!!!,Wednesday AND Marriage,,,,
20,Jim Monaghan and JoHo with Darryl Strawberry this afternoon at Nielsen Chevrolet. #Mets #Yankees,Monaghan and JoHo,,,,
21,"“Alexa, bring me water and advil ASAP.” HAPPY NEW YEAR!",water and advil,,,,
22,Happy Birthday to Eric Clapton! #slowhand,,,,,
23,"😂 Who else can't wait for #summer in #Sacramento? 🌞 #Repost @whiskeyriff
• • • • •
On the bright side.",,,,,
24,"Win a FREE trip to see @BrunoMars live at his residency in #LasVegas 🎶! Who'd you bring as your plus one? Enter for your chance at the link in our bio!⁣
.⁣
.⁣
. #BrunoMars #24KMagic",,,,,run
25,Great news! A new study says YES! Your dog does understand what you’re saying! 🐶 #Linkinbio for more details on the study!,,,,,
26,"Come out and Be The Thunder TONIGHT/6pm at The Lucky Dill! Cheer on the @TBlightning and enjoy beer specials, prizes, live DJ, and an appearance the TB Lighting Girls!",out and Be; TBlightning and enjoy,,,6pm,
27,@MarioLopez and his son got some #JiuJitsu time in this weekend!,MarioLopez and his,,,,
28,It’s true!!! Ariana Grande is getting her own drink at @starbucks! It will be available tomorrow nationwide and will be called #cloudmacchiato 📸 repost @arianagrande IG stories,nationwide and will,,Starbucks,,
29,"here's to my girl Jaffe on her bday! keep using phrases like ""let's get crunk"" in a non-ironic way and dropping it *dangerously* low with me 7 days a week 🔥",ironic way,,,,run
30,"Squats 👊🏽 #legday #sundayfunday 🏋🏽‍♀️
🏋🏽‍♀️
🏋🏽‍♀️
🏋🏽‍♂️
🏋🏽‍♂️
🏋🏽‍♂️ #workout #legs #weights #lift #babyweights #lunges #cantwalk #love #yeg #gym #bodybuilding",,,,,gym; workout; walk
31,Saturday Tings 🐙 #saturdaynight #yeg #wonderwoman,,,,,
32,Which remaining #DealOrNoDeal case has up to $500?? Your chance to try and win it at 7:20p and 8:20p with @fritoontheradio! @dealornodealcnbc,try and win; 20p and 8,,,,
33,The #WDHA crew getting in the #Halloween spirit and ready for #WDHAMonsterBash tonight @ Alexus Steakhouse in Clifton! 🎃,spirit and ready,,,,
34,We are officially one month away from ALTer Ego!! Which you obviously already know since it’s underlined and highlighted in your calendar. (No? Just us?),underlined and highlighted,,,,
35,follow @adiethebaddievintage and snag this polka dot shirt dress may 1! ✨ // #adiethebaddie #adiethebaddievintage #vintage #modernvice #fpme #freepeople #blowthebelt #spring,adiethebaddievintage and snag,,,,
36,"#ad I'm sharing what's in my purse over on the blog! I have lippies, industrial strength hand cream and my Ricola with #swissherbs. What about you?",cream and my,,,,
37,Congrats to these box hockey champs! Catch us at the next TBL home game for your chance to walk away with some sweet bolts gear ⚡️ #gobolts #bonesocial,,,,,walk
38,"요즘 자주사용하는
천연탈취제 #에어로케어 🤗
거실이나 주방은 물론~
신발장이나 화장실에도,
필요한 순간에 뿌려주기만하면
악취와 세균은 물론 대기중 유해물질과
미세먼지까지 제거해줘서
집안을 깨끗한 공기로 만들어준다👍🏻
유해물질을 99%를 분해시키기!!
향은 진하지않고, 피톤치드향이 난다는~
100% 천연식물성분이라 안심하고
사용하는중^^
-
구매링크 공유해요 :-)
https://smartstore.naver.com/airocare
-
-
@airocare_liquid
#집꾸미기 #공기청정기 #탈취제 #새집증후군 #인테리어 #미세먼지 #공기청정기추천 #천연방향제 #차량용방향제 #차량용공기청정기 #육아템 #공기청정 #방향제 #냄새 #섬유탈취제 #새집증후군제거방법 #화장실냄새제거 #티트리오일 #천연탈취제 • 업체로부터 제품을 제공받아 작성된 글입니다.",,,,,
39,"rain drop, tube top ✨ // #fpme #freepeople #saturday #summer #tubetop #yellow #flowy #pants #icedcoffee",,,,,coffee
40,Was @brunomars & @iamcardib #FinesseRemix the #BestMusicVideo of the year? Vote for it to win at our #iHeartAwards! KJ103FM.com/awards,,,,,run
41,You can be the thunder! Text and you could be right there cheering on the @TBLightning!,Text and you,,,,
42,You don't get days like these twice... #14thavenuephtography #lensflare #shortexposure #sunset  #sunsetlovers #onawalk #trees_capture #vivid_photographer #nature #brilliant #sunset_ig #gorgeous_shot,,,,,walk
43,So we were in Morristown and this parade breaks out...,Morristown and this,,,,
44,New at 2: DreamDoll - Everything  Nice #NEWTAT2 #NOCHILLZONE,,,,,
